Label,voteshare,Clinton,Trump
Under 5 years,0,0.5,0.5
5 to 9 years,0,0.5,0.5
10 to 14 years,0,0.5,0.5
15 to 19 years,0.0325,0.55,0.36
20 to 24 years,0.0775,0.55,0.36
25 to 34 years,0.16,0.53,0.39
35 to 44 years,0.17,0.51,0.41
45 to 54 years,0.2,0.44,0.52
55 to 59 years,0.1,0.44,0.52
60 to 64 years,0.1,0.44,0.52
65 to 74 years,0.095,0.45,0.52
75 to 84 years,0.045,0.45,0.52
85 years and over,0.02,0.45,0.52
