County,ShortName,CD,Clinton,Trump,Total,
Erie (pt.),Erie,26,0,0,0,0
Erie (pt.),Erie,27,0,0,0,0
Herkimer (pt.),Herkimer,21,0,0,0,0
Herkimer (pt.),Herkimer,22,0,0,0,0
Monroe (pt.),Monroe,25,0,0,0,0
Monroe (pt.),Monroe,27,0,0,0,0
Montgomery (pt.),Montgomery,19,0,0,0,0
Montgomery (pt.),Montgomery,20,0,0,0,0
Nassau (pt.),Nassau,2,0,0,0,0
Nassau (pt.),Nassau,3,0,0,0,0
Nassau (pt.),Nassau,4,0,0,0,0
Nassau (pt.),Nassau,5,0,0,0,0
Niagara (pt.),Niagara,26,0,0,0,0
Niagara (pt.),Niagara,27,0,0,0,0
Ontario (pt.),Ontario,23,10,8,18,0
Ontario (pt.),Ontario,27,16,14,31,1
Oswego (pt.),Oswego,22,0,0,0,0
Oswego (pt.),Oswego,24,0,0,0,0
Rensselaer (pt.),Rensselaer,19,0,0,0,0
Rensselaer (pt.),Rensselaer,20,0,0,0,0
Saratoga (pt.),Saratoga,20,0,0,0,0
Saratoga (pt.),Saratoga,21,0,0,0,0
Suffolk (pt.),Suffolk,1,0,0,0,0
Suffolk (pt.),Suffolk,2,0,0,0,0
Suffolk (pt.),Suffolk,3,0,0,0,0
Tioga (pt.),Tioga,22,0,0,0,0
Tioga (pt.),Tioga,23,0,0,0,0
Westchester (pt.),Westchester,16,0,0,0,0
Westchester (pt.),Westchester,17,0,0,0,0
Westchester (pt.),Westchester,18,0,0,0,0
NYC - Bronx (pt.),NYC_BX,13,0,0,0,0
NYC - Bronx (pt.),NYC_BX,14,0,0,0,0
NYC - Bronx (pt.),NYC_BX,15,0,0,0,0
NYC - Bronx (pt.),NYC_BX,16,0,0,0,0
NYC - Brooklyn (pt.),NYC_BK,7,0,0,0,0
NYC - Brooklyn (pt.),NYC_BK,8,0,0,0,0
NYC - Brooklyn (pt.),NYC_BK,9,0,0,0,0
NYC - Brooklyn (pt.),NYC_BK,10,0,0,0,0
NYC - Brooklyn (pt.),NYC_BK,11,0,0,0,0
NYC - Brooklyn (pt.),NYC_BK,12,0,0,0,0
NYC - Manhattan (pt.),NYC_MN,7,0,0,0,0
NYC - Manhattan (pt.),NYC_MN,10,0,0,0,0
