County,ShortName,CD,Clinton,Trump,Total,
Westmoreland (pt.),Westmoreland,12,"15,641","31,424","48,571","1,506"
Westmoreland (pt.),Westmoreland,14,"3,676","3,609","7,550",265
Westmoreland (pt.),Westmoreland,18,"38,173","79,541","121,709","3,995"
,,,,,"28,776",
,Split E/A/P Votes,,,,,
Allegheny (pt.),Allegheny,12,0,0,0,0
Allegheny (pt.),Allegheny,14,0,0,0,0
Allegheny (pt.),Allegheny,18,0,0,0,0
Berks (pt.),Berks,6,0,0,0,0
Berks (pt.),Berks,7,0,0,0,0
Berks (pt.),Berks,15,0,0,0,0
Berks (pt.),Berks,16,0,0,0,0
Cambria (pt.),Cambria,9,0,0,0,0
Cambria (pt.),Cambria,12,0,0,0,0
Carbon (pt.),Carbon,11,0,0,0,0
Carbon (pt.),Carbon,17,0,0,0,0
Chester (pt.),Chester,6,0,0,0,0
Chester (pt.),Chester,7,0,0,0,0
Chester (pt.),Chester,16,0,0,0,0
Clarion (pt.),Clarion,3,0,0,0,0
Clarion (pt.),Clarion,5,0,0,0,0
Crawford (pt.),Crawford,3,0,0,0,0
Crawford (pt.),Crawford,5,0,0,0,0
Cumberland (pt.),Cumberland,4,0,0,0,0
Cumberland (pt.),Cumberland,11,0,0,0,0
Dauphin (pt.),Dauphin,4,25,1,26,0
Dauphin (pt.),Dauphin,11,58,11,68,0
Dauphin (pt.),Dauphin,15,22,5,27,0
Delaware (pt.),Delaware,1,0,0,0,0
Delaware (pt.),Delaware,7,0,0,0,0
Erie (pt.),Erie,3,0,0,0,0
Erie (pt.),Erie,5,0,0,0,0
Greene (pt.),Greene,9,0,0,0,0
Greene (pt.),Greene,18,0,0,0,0
Huntingdon (pt.),Huntingdon,5,0,0,0,0
Huntingdon (pt.),Huntingdon,9,0,0,0,0
Lackawanna (pt.),Lackawanna,10,0,0,0,0
Lackawanna (pt.),Lackawanna,17,0,0,0,0
Lancaster (pt.),Lancaster,7,0,0,0,0
Lancaster (pt.),Lancaster,16,0,0,0,0
Lawrence (pt.),Lawrence,3,0,0,0,0
Lawrence (pt.),Lawrence,12,0,0,0,0
Lebanon (pt.),Lebanon,6,0,0,0,0
Lebanon (pt.),Lebanon,15,0,0,0,0
Luzerne (pt.),Luzerne,11,0,0,0,0
Luzerne (pt.),Luzerne,17,0,0,0,0
Monroe (pt.),Monroe,10,0,0,0,0
Monroe (pt.),Monroe,17,0,0,0,0
Montgomery (pt.),Montgomery,2,0,0,0,0
Montgomery (pt.),Montgomery,6,0,0,0,0
