County,ShortName,CD,Clinton,Trump,Total,
Fauquier (pt.),Fauquier,1,2098,4895,"7,377",384
Fauquier (pt.),Fauquier,5,10873,17232,"29,776","1,671"
Hampton City (pt.),HamptonCity,2,7124,7348,"15,339",867
Hampton City (pt.),HamptonCity,3,34188,10554,"46,558","1,816"
Henrico (pt.),Henrico,4,31506,10568,"43,231","1,157"
Henrico (pt.),Henrico,7,62429,49289,"119,296","7,578"
Henry (pt.),Henry,5,2797,3737,"6,710",176
Henry (pt.),Henry,9,5401,11471,"17,319",447
James City (pt.),JamesCity,1,12969,15788,"30,542","1,785"
James City (pt.),JamesCity,2,2613,2353,"5,233",267
Norfolk City (pt.),NorfolkCity,2,14601,11235,"27,582","1,746"
Norfolk City (pt.),NorfolkCity,3,42422,10317,"55,268","2,529"
Prince William (pt.),PrinceWilliam,1,43201,35441,"83,335","4,693"
Prince William (pt.),PrinceWilliam,10,15711,16563,"34,009","1,735"
Prince William (pt.),PrinceWilliam,11,54232,19717,"77,387","3,438"
Roanoke (pt.),Roanoke,6,13126,23109,"38,201","1,966"
Roanoke (pt.),Roanoke,9,4074,8299,"12,991",618
Spotsylvania (pt.),Spotsylvania,1,7000,7765,"15,658",893
Spotsylvania (pt.),Spotsylvania,7,17207,26858,"46,432","2,367"
Suffolk City (pt.),SuffolkCity,3,15256,11196,"27,691","1,239"
Suffolk City (pt.),SuffolkCity,4,8024,6810,"15,352",518
,,,,,,
,Split E/A/P Votes,,,,,
Bedford (pt.),Bedford,5,0,0,0,0
Bedford (pt.),Bedford,6,0,0,0,0
Chesapeake City (pt.),ChesapeakeCity,3,0,0,0,0
Chesapeake City (pt.),ChesapeakeCity,4,0,0,0,0
Chesterfield (pt.),Chesterfield,4,0,0,0,0
Chesterfield (pt.),Chesterfield,7,0,0,0,0
Fairfax (pt.),Fairfax,8,0,0,0,0
Fairfax (pt.),Fairfax,10,0,0,0,0
Fairfax (pt.),Fairfax,11,0,0,0,0
Fauquier (pt.),Fauquier,1,0,0,0,0
Fauquier (pt.),Fauquier,5,0,0,0,0
Hampton City (pt.),HamptonCity,2,0,0,0,0
Hampton City (pt.),HamptonCity,3,0,0,0,0
Henrico (pt.),Henrico,4,0,0,0,0
Henrico (pt.),Henrico,7,0,0,0,0
Henry (pt.),Henry,5,0,0,0,0
Henry (pt.),Henry,9,0,0,0,0
James City (pt.),JamesCity,1,2932,2754,5956,270
James City (pt.),JamesCity,2,591,411,1042,40
Norfolk City (pt.),NorfolkCity,2,0,0,0,0
Norfolk City (pt.),NorfolkCity,3,0,0,0,0
Prince William (pt.),PrinceWilliam,1,0,0,0,0
Prince William (pt.),PrinceWilliam,10,0,0,0,0
Prince William (pt.),PrinceWilliam,11,0,0,0,0
Roanoke (pt.),Roanoke,6,0,0,0,0
Roanoke (pt.),Roanoke,9,0,0,0,0
Spotsylvania (pt.),Spotsylvania,1,0,0,0,0
Spotsylvania (pt.),Spotsylvania,7,0,0,0,0
Suffolk City (pt.),SuffolkCity,3,0,0,0,0
Suffolk City (pt.),SuffolkCity,4,0,0,0,0
,,,,,,
Total E/A/P Votes,,,,,,
Bedford (pt.),Bedford,EV,0,0,0,0
Chesapeake City (pt.),ChesapeakeCity,EV,0,0,0,0
Chesterfield (pt.),Chesterfield,EV,0,0,0,0
Fairfax (pt.),Fairfax,EV,0,0,0,0
Fauquier (pt.),Fauquier,EV,0,0,0,0
Hampton City (pt.),HamptonCity,EV,0,0,0,0
Henrico (pt.),Henrico,EV,0,0,0,0
Henry (pt.),Henry,EV,0,0,0,0
James City (pt.),JamesCity,EV,3523,3165,6998,310
Norfolk City (pt.),NorfolkCity,EV,0,0,0,0
Prince William (pt.),PrinceWilliam,EV,0,0,0,0
Roanoke (pt.),Roanoke,EV,0,0,0,0
Spotsylvania (pt.),Spotsylvania,EV,0,0,0,0
Suffolk City (pt.),SuffolkCity,EV,0,0,0,0
