County,ShortName,CD,Clinton,Trump,Total,
Clarke (pt.),Clarke,9,"3,608","1,269","5,022",145
Clarke (pt.),Clarke,10,"25,995","11,448","39,317","1,874"
Clayton (pt.),Clayton,5,"27,249","4,206","32,085",630
Clayton (pt.),Clayton,13,"50,971","8,439","60,427","1,017"
Cobb (pt.),Cobb,6,"39,375","54,310","98,688","5,003"
Cobb (pt.),Cobb,11,"72,520","76,668","156,276","7,088"
Cobb (pt.),Cobb,13,"48,227","21,935","72,535","2,374"
Columbia (pt.),Columbia,10,"2,211","6,377","8,845",256
Columbia (pt.),Columbia,12,"16,676","36,708","55,397","2,014"
DeKalb (pt.),DeKalb,4,"140,510","15,573","159,569","3,486"
DeKalb (pt.),DeKalb,5,"68,700","7,802","79,034","2,532"
DeKalb (pt.),DeKalb,6,"42,160","28,093","73,901","3,648"
Effingham (pt.),Effingham,1,"2,967","11,238","14,626",421
Effingham (pt.),Effingham,12,"1,886","6,636","8,780",258
Fayette (pt.),Fayette,3,"17,161","30,964","49,962","1,837"
Fayette (pt.),Fayette,13,"6,123","4,084","10,473",266
Forsyth (pt.),Forsyth,7,"19,390","47,782","70,217","3,045"
Forsyth (pt.),Forsyth,9,"4,072","22,069","27,187","1,046"
Fulton (pt.),Fulton,5,"163,856","24,377","194,635","6,402"
Fulton (pt.),Fulton,6,"73,542","77,619","158,657","7,496"
Fulton (pt.),Fulton,11,"10,494","11,585","23,138","1,059"
Fulton (pt.),Fulton,13,"49,159","4,202","54,169",808
Gwinnett (pt.),Gwinnett,4,"41,569","24,148","67,916","2,199"
Gwinnett (pt.),Gwinnett,7,"112,622","103,063","224,755","9,070"
Gwinnett (pt.),Gwinnett,10,"11,962","19,778","32,965","1,225"
Henry (pt.),Henry,3,"15,112","12,859","28,759",788
Henry (pt.),Henry,10,"6,494","16,185","23,309",630
Henry (pt.),Henry,13,"28,451","16,680","46,218","1,087"
Lowndes (pt.),Lowndes,1,538,888,"1,472",46
Lowndes (pt.),Lowndes,8,"14,526","20,747","36,156",883
Muscogee (pt.),Muscogee,2,"33,704","14,421","49,327","1,203"
Muscogee (pt.),Muscogee,3,"6,147","12,555","19,331",628
Newton (pt.),Newton,4,"19,573","13,234","33,522",715
Newton (pt.),Newton,10,"2,370","7,679","10,281",232
Pickens (pt.),Pickens,9,"1,474","7,585","9,283",224
Pickens (pt.),Pickens,14,505,"4,066","4,701",130
