County,Precinct,CD,Clinton,Trump,Total,Other
East Providence,East Providence 1014,1,794,589,1462,79
East Providence,East Providence 1015,1,369,219,607,19
East Providence,East Providence 1016,1,433,379,864,52
East Providence,East Providence 1017,1,802,624,1497,71
East Providence,East Providence 1018,1,312,245,584,27
East Providence,East Providence Limited,1,0,0,0,0
East Providence,East Providence Presidential,1,140,103,251,8
Exeter,Exeter 1101,2,476,462,1007,69
Exeter,Exeter 1102,2,418,577,1048,53
Exeter,Exeter 1103,2,565,762,1411,84
Exeter,Exeter Limited,2,0,0,0,0
Exeter,Exeter Presidential,2,12,19,34,3
Foster,Foster 1201,2,523,705,1300,72
Foster,Foster 1202,2,431,639,1132,62
Foster,Foster Limited,2,0,0,0,0
Foster,Foster Presidential,2,13,30,47,4
Glocester,Glocester 1301,2,618,988,1697,91
Glocester,Glocester 1302,2,730,1033,1866,103
Glocester,Glocester 1303,2,136,233,389,20
Glocester,Glocester 1304,2,481,621,1159,57
Glocester,Glocester Limited,2,0,0,0,0
Glocester,Glocester Presidential,2,12,39,54,3
Hopkinton,Hopkinton 1401,2,727,986,1800,87
Hopkinton,Hopkinton 1402,2,725,775,1596,96
Hopkinton,Hopkinton 1403,2,287,329,662,46
Hopkinton,Hopkinton Limited,2,1,0,1,0
Hopkinton,Hopkinton Presidential,2,26,45,73,2
Jamestown,Jamestown 1501,1,1112,547,1734,75
Jamestown,Jamestown 1502,1,1038,575,1707,94
Jamestown,Jamestown Limited,1,3,2,6,1
Jamestown,Jamestown Presidential,1,19,24,44,1
Johnston,Johnston 1601,2,439,548,1013,26
Johnston,Johnston 1602,2,465,628,1141,48
Johnston,Johnston 1603,2,553,609,1219,57
Johnston,Johnston 1604,2,513,758,1299,28
Johnston,Johnston 1605,2,484,638,1157,35
Johnston,Johnston 1606,2,96,130,237,11
Johnston,Johnston 1607,2,168,204,379,7
Johnston,Johnston 1608,2,579,767,1406,60
Johnston,Johnston 1609,2,429,611,1070,30
Johnston,Johnston 1610,2,692,861,1611,58
Johnston,Johnston 1611,2,391,432,849,26
Johnston,Johnston 1612,2,363,592,984,29
Johnston,Johnston 1613,2,389,695,1122,38
Johnston,Johnston Limited,2,0,1,1,0
Johnston,Johnston Presidential,2,91,89,186,6
Lincoln,Lincoln 1701,1,766,1136,1966,64
Lincoln,Lincoln 1702,1,441,352,832,39
Lincoln,Lincoln 1703,1,559,565,1203,79
Lincoln,Lincoln 1704,1,799,802,1680,79
Lincoln,Lincoln 1705,1,572,585,1224,67
Lincoln,Lincoln 1706,1,186,174,378,18
Lincoln,Lincoln 1707,1,178,189,379,12
Lincoln,Lincoln 1708,1,802,753,1622,67
Lincoln,Lincoln 1709,1,296,312,637,29
Lincoln,Lincoln 1710,1,305,247,576,24
Lincoln,Lincoln 1711,1,332,239,599,28
Lincoln,Lincoln Limited,1,1,1,2,0
Lincoln,Lincoln Presidential,1,42,55,105,8
Little Compton,Little Compton 1801,1,1156,814,2120,150
Little Compton,Little Compton Limited,1,0,0,0,0
Little Compton,Little Compton Presidential,1,9,7,17,1
Middletown,Middletown 1901,1,699,467,1221,55
Middletown,Middletown 1902,1,851,543,1459,65
Middletown,Middletown 1903,1,797,441,1302,64
Middletown,Middletown 1904,1,1067,696,1886,123
Middletown,Middletown 1905,1,717,555,1358,86
Middletown,Middletown Limited,1,1,1,3,1
Middletown,Middletown Presidential,1,116,42,168,10
Narragansett,Narragansett 2001,2,115,87,209,7
Narragansett,Narragansett 2002,2,1042,791,1955,122
Narragansett,Narragansett 2003,2,1040,737,1866,89
Narragansett,Narragansett 2004,2,1027,782,1898,89
Narragansett,Narragansett 2005,2,932,843,1851,76
Narragansett,Narragansett Limited,2,0,1,1,0
Narragansett,Narragansett Presidential,2,58,51,113,4
New Shoreham,New Shoreham 2201,2,605,213,853,35
New Shoreham,New Shoreham Limited,2,0,0,0,0
New Shoreham,New Shoreham Presidential,2,4,1,5,0
Newport,Newport 2101,1,702,277,1025,46
Newport,Newport 2102,1,1402,474,1972,96
Newport,Newport 2103,1,454,138,626,34
Newport,Newport 2104,1,337,110,463,16
Newport,Newport 2105,1,863,368,1296,65
Newport,Newport 2106,1,983,472,1536,81
Newport,Newport 2107,1,875,562,1522,85
Newport,Newport 2108,1,514,160,714,40
Newport,Newport Limited,1,8,2,10,0
Newport,Newport Presidential,1,149,81,257,27
North Kingstown,North Kingstown 2301,2,638,664,1376,74
North Kingstown,North Kingstown 2302,2,871,733,1723,119
North Kingstown,North Kingstown 2303,2,910,830,1830,90
North Kingstown,North Kingstown 2304,2,946,788,1847,113
North Kingstown,North Kingstown 2305,2,534,468,1070,68
North Kingstown,North Kingstown 2306,2,534,443,1037,60
North Kingstown,North Kingstown 2307,2,1153,702,1972,117
North Kingstown,North Kingstown 2308,2,1053,748,1940,139
North Kingstown,North Kingstown 2309,2,1081,711,1917,125
North Kingstown,North Kingstown Limited,2,0,0,0,0
North Kingstown,North Kingstown Presidential,2,73,60,142,9
North Providence,North Providence 2401,1,385,353,773,35
North Providence,North Providence 2402,1,594,434,1069,41
North Providence,North Providence 2403,1,528,504,1072,40
North Providence,North Providence 2404,1,285,270,588,33
North Providence,North Providence 2405,1,434,341,804,29
North Providence,North Providence 2406,1,594,525,1163,44
North Providence,North Providence 2407,1,582,601,1223,40
North Providence,North Providence 2408,1,519,413,994,62
North Providence,North Providence 2409,1,281,221,519,17
North Providence,North Providence 2410,1,430,408,865,27
North Providence,North Providence 2411,1,526,646,1201,29
North Providence,North Providence 2412,1,575,524,1143,44
North Providence,North Providence 2413,1,321,276,620,23
North Providence,North Providence 2414,1,310,299,630,21
North Providence,North Providence 2415,1,455,288,768,25
North Providence,North Providence 2416,1,816,750,1620,54
North Providence,North Providence Limited,1,2,1,3,0
North Providence,North Providence Presidential,1,123,82,211,6
North Smithfield,North Smithfield 2501,1,557,756,1398,85
North Smithfield,North Smithfield 2502,1,574,847,1485,64
North Smithfield,North Smithfield 2503,1,555,600,1217,62
North Smithfield,North Smithfield 2504,1,565,608,1231,58
North Smithfield,North Smithfield 2505,1,295,385,722,42
North Smithfield,North Smithfield Limited,1,0,1,1,0
North Smithfield,North Smithfield Presidential,1,24,45,69,0
Pawtucket,Pawtucket 2601,1,230,94,337,13
Pawtucket,Pawtucket 2602,1,576,81,671,14
Pawtucket,Pawtucket 2603,1,848,351,1231,32
Pawtucket,Pawtucket 2604,1,466,251,746,29
Pawtucket,Pawtucket 2605,1,450,69,529,10
Pawtucket,Pawtucket 2606,1,496,58,569,15
Pawtucket,Pawtucket 2607,1,1268,239,1555,48
Pawtucket,Pawtucket 2608,1,1063,231,1344,50
Pawtucket,Pawtucket 2609,1,135,38,178,5
Pawtucket,Pawtucket 2610,1,134,19,157,4
Pawtucket,Pawtucket 2611,1,490,91,591,10
Pawtucket,Pawtucket 2612,1,530,350,925,45
Pawtucket,Pawtucket 2613,1,825,255,1133,53
Pawtucket,Pawtucket 2614,1,771,234,1037,32
Pawtucket,Pawtucket 2615,1,283,84,389,22
Pawtucket,Pawtucket 2616,1,99,77,186,10
Pawtucket,Pawtucket 2617,1,195,59,270,16
Pawtucket,Pawtucket 2618,1,871,531,1469,67
Pawtucket,Pawtucket 2619,1,470,358,863,35
Pawtucket,Pawtucket 2620,1,886,479,1440,75
Pawtucket,Pawtucket 2621,1,234,202,452,16
Pawtucket,Pawtucket 2622,1,166,105,287,16
Pawtucket,Pawtucket 2623,1,236,126,374,12
Pawtucket,Pawtucket 2624,1,242,196,457,19
Pawtucket,Pawtucket 2625,1,272,80,374,22
Pawtucket,Pawtucket 2626,1,147,14,164,3
Pawtucket,Pawtucket 2627,1,610,210,854,34
Pawtucket,Pawtucket 2628,1,705,514,1267,48
Pawtucket,Pawtucket 2629,1,922,580,1552,50
Pawtucket,Pawtucket 2630,1,83,43,133,7
Pawtucket,Pawtucket 2631,1,484,96,596,16
Pawtucket,Pawtucket Limited,1,4,2,6,0
Pawtucket,Pawtucket Presidential,1,383,104,496,9
Portsmouth,Portsmouth 2701,1,52,39,100,9
Portsmouth,Portsmouth 2702,1,138,116,278,24
Portsmouth,Portsmouth 2703,1,795,542,1421,84
Portsmouth,Portsmouth 2704,1,1048,850,2015,117
Portsmouth,Portsmouth 2705,1,345,280,662,37
Portsmouth,Portsmouth 2706,1,345,305,681,31
Portsmouth,Portsmouth 2707,1,1054,875,2036,107
Portsmouth,Portsmouth 2708,1,1104,854,2082,124
Portsmouth,Portsmouth Limited,1,2,0,2,0
Portsmouth,Portsmouth Presidential,1,62,61,132,9
Providence (pt.),Providence 2801,1,134,27,166,5
Providence (pt.),Providence 2802,1,197,28,236,11
Providence (pt.),Providence 2803,1,1184,144,1391,63
Providence (pt.),Providence 2804,1,525,17,570,28
Providence (pt.),Providence 2805,1,1564,194,1826,68
Providence (pt.),Providence 2806,1,105,11,121,5
Providence (pt.),Providence 2807,1,3,1,4,0
Providence (pt.),Providence 2808,1,1027,121,1213,65
Providence (pt.),Providence 2809,1,1220,161,1463,82
Providence (pt.),Providence 2810,1,56,4,62,2
Providence (pt.),Providence 2811,1,932,104,1062,26
Providence (pt.),Providence 2812,1,757,181,969,31
Providence (pt.),Providence 2813,1,593,75,695,27
Providence (pt.),Providence 2814,1,410,93,515,12
Providence (pt.),Providence 2815,1,803,212,1041,26
Providence (pt.),Providence 2816,1,1699,256,2025,70
Providence (pt.),Providence 2817,1,1654,193,1933,86
