County,ShortName,CD,Clinton,Trump,Total,,,,,,,,,,,,,,,,,,,,,
Charleston (pt.),Charleston,6,"9,742","3,557","13,695",396,,,,,,,,,,,,,,,,,,,,
Colleton (pt.),Colleton,1,80,173,258,5,,,,,,,,,,,,,,,,,,,,
Colleton (pt.),Colleton,6,"2,699","2,307","5,121",115,,,,,,,,,,,,,,,,,,,,
Dorchester (pt.),Dorchester,1,"5,405","6,853","12,804",546,,,,,,,,,,,,,,,,,,,,
Dorchester (pt.),Dorchester,6,"1,180","1,088","2,304",36,,,,,,,,,,,,,,,,,,,,
Florence (pt.),Florence,6,"1,326",819,"2,178",34,,,,,,,,,,,,,,,,,,,,
Florence (pt.),Florence,7,"7,783","7,666","15,791",341,,,,,,,,,,,,,,,,,,,,
Greenville (pt.),Greenville,3,"1,669","2,106","3,908",133,,,,,,,,,,,,,,,,,,,,
Greenville (pt.),Greenville,4,"12,153","14,517","27,895","1,225",,,,,,,,,,,,,,,,,,,,
Newberry (pt.),Newberry,3,251,420,690,19,,,,,,,,,,,,,,,,,,,,
Newberry (pt.),Newberry,5,"1,377","1,548","3,002",77,,,,,,,,,,,,,,,,,,,,
Orangeburg (pt.),Orangeburg,2,"1,593",763,"2,389",33,,,,,,,,,,,,,,,,,,,,
Orangeburg (pt.),Orangeburg,6,"7,158","1,388","8,648",102,,,,,,,,,,,,,,,,,,,,
Richland (pt.),Richland,2,"17,890","12,229","31,177","1,058",,,,,,,,,,,,,,,,,,,,
Richland (pt.),Richland,6,"20,207","3,492","24,233",534,,,,,,,,,,,,,,,,,,,,
Spartanburg (pt.),Spartanburg,4,"10,427","15,474","26,578",677,,,,,,,,,,,,,,,,,,,,
Spartanburg (pt.),Spartanburg,5,409,"1,388","1,838",41,,,,,,,,,,,,,,,,,,,,
Sumter (pt.),Sumter,5,"6,202","4,687","11,167",279,,,,,,,,,,,,,,,,,,,,
Sumter (pt.),Sumter,6,"2,705",513,"3,255",36,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Total E/A/P Votes,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaufort (pt.),Beaufort,EV,"11,096","10,704","22,514",714,,,,,,,,,,,,,,,,,,,,
Berkeley (pt.),Berkeley,EV,"7,583","8,336","16,486",567,,,,,,,,,,,,,,,,,,,,
Charleston (pt.),Charleston,EV,"30,815","26,682","59,933","2,436",,,,,,,,,,,,,,,,,,,,
Colleton (pt.),Colleton,EV,"2,779","2,480","5,379",120,,,,,,,,,,,,,,,,,,,,
Dorchester (pt.),Dorchester,EV,"6,585","7,941","15,108",582,,,,,,,,,,,,,,,,,,,,
Florence (pt.),Florence,EV,"9,109","8,485","17,969",375,,,,,,,,,,,,,,,,,,,,
Greenville (pt.),Greenville,EV,"13,822","16,623","31,803","1,358",,,,,,,,,,,,,,,,,,,,
Newberry (pt.),Newberry,EV,"1,628","1,968","3,692",96,,,,,,,,,,,,,,,,,,,,
Orangeburg (pt.),Orangeburg,EV,"8,751","2,151","11,037",135,,,,,,,,,,,,,,,,,,,,
Richland (pt.),Richland,EV,"38,097","15,721","55,410","1,592",,,,,,,,,,,,,,,,,,,,
Spartanburg (pt.),Spartanburg,EV,"10,836","16,862","28,416",718,,,,,,,,,,,,,,,,,,,,
Sumter (pt.),Sumter,EV,"8,907","5,200","14,422",315,,,,,,,,,,,,,,,,,,,,
