County,Town (Standard Name),Town (Results Name),Ward,Precinct,CD,Clinton,Trump,Total
Suffolk (pt.),Chelsea,Chelsea,3,3,7,439,83,536
Suffolk (pt.),Chelsea,Chelsea,3,4,7,497,81,605
Suffolk (pt.),Chelsea,Chelsea,4,1,7,440,122,581
Suffolk (pt.),Chelsea,Chelsea,4,2,7,543,199,779
Suffolk (pt.),Chelsea,Chelsea,4,3,7,468,167,663
Suffolk (pt.),Chelsea,Chelsea,4,4,7,439,129,592
Berkshire,Cheshire,Cheshire,-,1,1,978,741,"1,832"
Hampden (pt.),Chester,Chester,-,1,1,238,372,678
Hampshire (pt.),Chesterfield,Chesterfield,-,1,1,398,267,743
Hampden (pt.),Chicopee,Chicopee,1,A,1,660,640,"1,388"
Hampden (pt.),Chicopee,Chicopee,1,B,1,833,750,"1,683"
Hampden (pt.),Chicopee,Chicopee,2,A,1,677,279,"1,028"
Hampden (pt.),Chicopee,Chicopee,2,B,1,753,658,"1,500"
Hampden (pt.),Chicopee,Chicopee,3,A,1,658,509,"1,234"
Hampden (pt.),Chicopee,Chicopee,3,B,1,617,395,"1,070"
Hampden (pt.),Chicopee,Chicopee,4,A,1,659,463,"1,214"
Hampden (pt.),Chicopee,Chicopee,4,B,1,708,460,"1,258"
Hampden (pt.),Chicopee,Chicopee,5,A,1,697,516,"1,300"
Hampden (pt.),Chicopee,Chicopee,5,B,1,655,524,"1,266"
Hampden (pt.),Chicopee,Chicopee,6,AN,1,188,147,355
Hampden (pt.),Chicopee,Chicopee,6,AS,1,401,374,811
Hampden (pt.),Chicopee,Chicopee,6,BE,1,580,798,"1,451"
Hampden (pt.),Chicopee,Chicopee,6,BW,1,136,145,302
Hampden (pt.),Chicopee,Chicopee,7,A,1,602,355,"1,016"
Hampden (pt.),Chicopee,Chicopee,7,B,1,695,400,"1,156"
Hampden (pt.),Chicopee,Chicopee,8,A,1,704,558,"1,392"
Hampden (pt.),Chicopee,Chicopee,8,B,1,617,543,"1,257"
Hampden (pt.),Chicopee,Chicopee,9,A,1,697,564,"1,353"
Hampden (pt.),Chicopee,Chicopee,9,B,1,801,763,"1,663"
Dukes,Chilmark,Chilmark,-,1,9,617,94,764
Berkshire,Clarksburg,Clarksburg,-,1,1,510,327,878
Worcester (pt.),Clinton,Clinton,-,1,3,"1,021",687,"1,851"
Worcester (pt.),Clinton,Clinton,-,2,3,921,659,"1,726"
Worcester (pt.),Clinton,Clinton,-,3,3,930,718,"1,746"
Worcester (pt.),Clinton,Clinton,-,4,3,895,684,"1,688"
Norfolk (pt.),Cohasset,Cohasset,-,1,8,"1,403",770,"2,324"
Norfolk (pt.),Cohasset,Cohasset,-,2,8,"1,492",859,"2,490"
Franklin (pt.),Colrain,Colrain,-,1,1,513,257,891
Middlesex (pt.),Concord,Concord,-,1,3,"1,645",329,"2,103"
Middlesex (pt.),Concord,Concord,-,2,3,"1,993",462,"2,602"
Middlesex (pt.),Concord,Concord,-,3,3,"1,765",464,"2,345"
Middlesex (pt.),Concord,Concord,-,4,3,"1,857",439,"2,446"
Middlesex (pt.),Concord,Concord,-,5,3,"1,200",257,"1,568"
Franklin (pt.),Conway,Conway,-,1,1,865,249,"1,200"
Hampshire (pt.),Cummington,Cummington,-,1,1,334,156,554
Berkshire,Dalton,Dalton,-,1,1,"1,091",491,"1,712"
Berkshire,Dalton,Dalton,-,2,1,"1,099",449,"1,667"
Essex (pt.),Danvers,Danvers,-,1,6,"1,069",731,"1,916"
Essex (pt.),Danvers,Danvers,-,2,6,"1,033",815,"1,968"
Essex (pt.),Danvers,Danvers,-,3,6,860,741,"1,687"
Essex (pt.),Danvers,Danvers,-,4,6,997,774,"1,868"
Essex (pt.),Danvers,Danvers,-,5,6,984,895,"1,995"
Essex (pt.),Danvers,Danvers,-,6,6,958,910,"1,968"
Essex (pt.),Danvers,Danvers,-,7,6,952,810,"1,898"
Essex (pt.),Danvers,Danvers,-,8,6,899,808,"1,806"
Bristol (pt.),Dartmouth,Dartmouth,-,1,9,896,"1,085","2,079"
Bristol (pt.),Dartmouth,Dartmouth,-,2,9,681,589,"1,321"
Bristol (pt.),Dartmouth,Dartmouth,-,3,9,162,26,206
Bristol (pt.),Dartmouth,Dartmouth,-,4,9,"1,065",780,"1,952"
Bristol (pt.),Dartmouth,Dartmouth,-,5,9,"1,059",907,"2,079"
Bristol (pt.),Dartmouth,Dartmouth,-,6,9,920,714,"1,715"
Bristol (pt.),Dartmouth,Dartmouth,-,7,9,"1,035",837,"1,968"
Bristol (pt.),Dartmouth,Dartmouth,-,8,9,"1,378",847,"2,356"
Bristol (pt.),Dartmouth,Dartmouth,-,9,9,"1,390",953,"2,493"
Norfolk (pt.),Dedham,Dedham,-,1,8,"1,501",465,"2,088"
Norfolk (pt.),Dedham,Dedham,-,2,8,"1,205",695,"2,003"
Norfolk (pt.),Dedham,Dedham,-,3,8,"1,139",614,"1,831"
Norfolk (pt.),Dedham,Dedham,-,4,8,"1,212",652,"1,964"
Norfolk (pt.),Dedham,Dedham,-,5,8,"1,151",818,"2,081"
Norfolk (pt.),Dedham,Dedham,-,6,8,"1,306",701,"2,116"
Norfolk (pt.),Dedham,Dedham,-,7,8,"1,107",833,"2,035"
Franklin (pt.),Deerfield,Deerfield,-,1,2,"1,968",777,"2,981"
Barnstable,Dennis,Dennis,-,1,9,981,884,"1,959"
Barnstable,Dennis,Dennis,-,2,9,"1,091",783,"1,970"
Barnstable,Dennis,Dennis,-,3,9,844,667,"1,616"
Barnstable,Dennis,Dennis,-,4,9,"1,003",771,"1,896"
Barnstable,Dennis,Dennis,-,5,9,968,646,"1,707"
Bristol (pt.),Dighton,Dighton,-,1,4,776,"1,044","1,934"
Bristol (pt.),Dighton,Dighton,-,2,4,826,"1,105","2,056"
Worcester (pt.),Douglas,Douglas,-,1,2,565,956,"1,641"
Worcester (pt.),Douglas,Douglas,-,2,2,643,908,"1,666"
Worcester (pt.),Douglas,Douglas,-,3,2,572,821,"1,521"
Norfolk (pt.),Dover,Dover,-,1,4,"2,063","1,137","3,495"
Middlesex (pt.),Dracut,Dracut,-,1,3,654,777,"1,522"
Middlesex (pt.),Dracut,Dracut,-,2,3,611,765,"1,472"
Middlesex (pt.),Dracut,Dracut,-,3,3,714,920,"1,742"
Middlesex (pt.),Dracut,Dracut,-,4,3,788,"1,142","2,077"
Middlesex (pt.),Dracut,Dracut,-,5,3,705,947,"1,760"
Middlesex (pt.),Dracut,Dracut,-,6,3,761,824,"1,691"
Middlesex (pt.),Dracut,Dracut,-,6A,3,28,32,61
Middlesex (pt.),Dracut,Dracut,-,7,3,757,759,"1,613"
Middlesex (pt.),Dracut,Dracut,-,8,3,892,"1,221","2,249"
Middlesex (pt.),Dracut,Dracut,-,9,3,735,932,"1,785"
Worcester (pt.),Dudley,Dudley,-,1,1,843,"1,076","2,043"
Worcester (pt.),Dudley,Dudley,-,2,1,663,954,"1,740"
Worcester (pt.),Dudley,Dudley,-,3,1,607,841,"1,565"
Middlesex (pt.),Dunstable,Dunstable,-,1,3,954,837,"1,957"
Plymouth (pt.),Duxbury,Duxbury,-,1,9,968,697,"1,784"
Plymouth (pt.),Duxbury,Duxbury,-,2,9,883,668,"1,671"
Plymouth (pt.),Duxbury,Duxbury,-,3,9,828,576,"1,495"
Plymouth (pt.),Duxbury,Duxbury,-,4,9,853,631,"1,587"
Plymouth (pt.),Duxbury,Duxbury,-,5,9,826,697,"1,624"
Plymouth (pt.),Duxbury,Duxbury,-,6,9,779,619,"1,507"
Plymouth (pt.),East Bridgewater,E. Bridgewater,-,1,8,761,"1,002","1,920"
Plymouth (pt.),East Bridgewater,E. Bridgewater,-,2,8,791,"1,042","1,940"
Plymouth (pt.),East Bridgewater,E. Bridgewater,-,3,8,874,"1,077","2,074"
Plymouth (pt.),East Bridgewater,E. Bridgewater,-,4,8,748,952,"1,829"
Worcester (pt.),East Brookfield,E. Brookfield,-,1,1,417,664,"1,164"
Hampden (pt.),East Longmeadow,E. Longmeadow,-,1,1,"1,057","1,091","2,288"
Hampden (pt.),East Longmeadow,E. Longmeadow,-,2,1,"1,008","1,034","2,178"
Hampden (pt.),East Longmeadow,E. Longmeadow,-,3,1,"1,017","1,105","2,239"
Hampden (pt.),East Longmeadow,E. Longmeadow,-,4,1,"1,007","1,211","2,342"
Barnstable,Eastham,Eastham,-,1,9,"2,203","1,199","3,597"
Hampshire (pt.),Easthampton,Easthampton,-,1,1,"1,127",514,"1,757"
Hampshire (pt.),Easthampton,Easthampton,-,2,1,"1,370",417,"1,926"
Hampshire (pt.),Easthampton,Easthampton,-,3,1,"1,140",447,"1,723"
Hampshire (pt.),Easthampton,Easthampton,-,4,1,"1,464",453,"2,063"
Hampshire (pt.),Easthampton,Easthampton,-,5,1,"1,112",768,"2,015"
Bristol (pt.),Easton,Easton,-,1,4,640,505,"1,216"
Bristol (pt.),Easton,Easton,-,2,4,"1,272",944,"2,375"
Bristol (pt.),Easton,Easton,-,3,4,"1,042",898,"2,064"
Bristol (pt.),Easton,Easton,-,4,4,"1,204",940,"2,290"
Bristol (pt.),Easton,Easton,-,5,4,"1,334",953,"2,423"
Bristol (pt.),Easton,Easton,-,6,4,"1,064",991,"2,176"
Dukes,Edgartown,Edgartown,-,1,9,"1,787",779,"2,718"
Berkshire,Egremont,Egremont,-,1,1,621,147,828
Franklin (pt.),Erving,Erving,-,1,2,420,300,811
Essex (pt.),Essex,Essex,-,1,6,"1,272",758,"2,230"
Middlesex (pt.),Everett,Everett,1,1,7,737,294,"1,078"
Middlesex (pt.),Everett,Everett,1,2,7,666,290,985
Middlesex (pt.),Everett,Everett,2,1,7,776,336,"1,150"
Middlesex (pt.),Everett,Everett,2,2,7,702,249,989
Middlesex (pt.),Everett,Everett,3,1,7,828,412,"1,284"
Middlesex (pt.),Everett,Everett,3,2,7,779,346,"1,160"
Middlesex (pt.),Everett,Everett,4,1,7,888,416,"1,338"
Middlesex (pt.),Everett,Everett,4,2,7,797,286,"1,122"
Middlesex (pt.),Everett,Everett,5,1,7,765,343,"1,147"
Middlesex (pt.),Everett,Everett,5,2,7,818,299,"1,154"
Middlesex (pt.),Everett,Everett,6,1,7,809,344,"1,207"
Middlesex (pt.),Everett,Everett,6,2,7,896,325,"1,261"
Bristol (pt.),Fairhaven,Fairhaven,-,1,9,832,606,"1,514"
Bristol (pt.),Fairhaven,Fairhaven,-,2,9,744,600,"1,426"
Bristol (pt.),Fairhaven,Fairhaven,-,3,9,581,536,"1,179"
Bristol (pt.),Fairhaven,Fairhaven,-,4,9,705,675,"1,452"
Bristol (pt.),Fairhaven,Fairhaven,-,5,9,711,759,"1,550"
Bristol (pt.),Fairhaven,Fairhaven,-,6,9,691,648,"1,417"
Bristol (pt.),Fall River (pt.),Fall River,1,A,9,816,640,"1,525"
Bristol (pt.),Fall River (pt.),Fall River,1,B,9,601,434,"1,091"
Bristol (pt.),Fall River (pt.),Fall River,1,C,9,622,481,"1,170"
Bristol (pt.),Fall River (pt.),Fall River,2,A,9,510,317,869
Bristol (pt.),Fall River (pt.),Fall River,2,B,9,491,276,806
Bristol (pt.),Fall River (pt.),Fall River,2,C,9,567,372,981
Bristol (pt.),Fall River (pt.),Fall River,3,A,9,674,458,"1,171"
Bristol (pt.),Fall River (pt.),Fall River,3,B,9,663,410,"1,128"
Bristol (pt.),Fall River (pt.),Fall River,3,C,9,641,456,"1,156"
Bristol (pt.),Fall River (pt.),Fall River,4,A,9,551,267,860
Bristol (pt.),Fall River (pt.),Fall River,4,B,9,561,215,819
Bristol (pt.),Fall River (pt.),Fall River,4,C,4,679,229,940
Bristol (pt.),Fall River (pt.),Fall River,5,A,9,438,180,646
Bristol (pt.),Fall River (pt.),Fall River,5,B,9,385,138,548
Bristol (pt.),Fall River (pt.),Fall River,5,B1,4,65,38,113
Bristol (pt.),Fall River (pt.),Fall River,5,C,4,541,244,821
Bristol (pt.),Fall River (pt.),Fall River,6,A,9,714,517,"1,304"
Bristol (pt.),Fall River (pt.),Fall River,6,B,9,579,312,930
Bristol (pt.),Fall River (pt.),Fall River,6,C,9,625,439,"1,124"
Bristol (pt.),Fall River (pt.),Fall River,6,C1,4,15,4,19
Bristol (pt.),Fall River (pt.),Fall River,7,A,4,689,443,"1,179"
Bristol (pt.),Fall River (pt.),Fall River,7,B,4,535,316,910
Bristol (pt.),Fall River (pt.),Fall River,7,C,4,663,324,"1,059"
Bristol (pt.),Fall River (pt.),Fall River,8,A,4,600,338,997
Bristol (pt.),Fall River (pt.),Fall River,8,B,4,881,563,"1,524"
Bristol (pt.),Fall River (pt.),Fall River,8,C,4,902,661,"1,631"
Bristol (pt.),Fall River (pt.),Fall River,9,A,4,986,794,"1,847"
Bristol (pt.),Fall River (pt.),Fall River,9,B,4,676,503,"1,236"
Bristol (pt.),Fall River (pt.),Fall River,9,C,4,797,481,"1,357"
Barnstable,Falmouth,Falmouth,-,1,9,"1,793",513,"2,416"
Barnstable,Falmouth,Falmouth,-,2,9,"1,386",707,"2,189"
Barnstable,Falmouth,Falmouth,-,3,9,"1,150",810,"2,051"
Barnstable,Falmouth,Falmouth,-,4,9,"1,219",859,"2,183"
Barnstable,Falmouth,Falmouth,-,5,9,"1,349",886,"2,376"
Barnstable,Falmouth,Falmouth,-,6,9,"1,333",771,"2,216"
Barnstable,Falmouth,Falmouth,-,7,9,"1,094",913,"2,116"
Barnstable,Falmouth,Falmouth,-,8,9,"1,070",907,"2,100"
Barnstable,Falmouth,Falmouth,-,9,9,"1,073",799,"1,986"
Worcester (pt.),Fitchburg,Fitchburg,1,A,3,619,314,"1,003"
Worcester (pt.),Fitchburg,Fitchburg,1,B,3,677,452,"1,223"
Worcester (pt.),Fitchburg,Fitchburg,2,A,3,607,262,931
Worcester (pt.),Fitchburg,Fitchburg,2,B,3,742,609,"1,441"
Worcester (pt.),Fitchburg,Fitchburg,3,A,3,961,832,"1,928"
Worcester (pt.),Fitchburg,Fitchburg,3,B,3,772,543,"1,424"
Worcester (pt.),Fitchburg,Fitchburg,4,A,3,490,288,837
Worcester (pt.),Fitchburg,Fitchburg,4,B,3,699,276,"1,047"
Worcester (pt.),Fitchburg,Fitchburg,5,A,3,849,842,"1,826"
Worcester (pt.),Fitchburg,Fitchburg,5,B,3,619,232,920
Worcester (pt.),Fitchburg,Fitchburg,6,A,3,854,626,"1,590"
Worcester (pt.),Fitchburg,Fitchburg,6,B,3,701,311,"1,078"
Berkshire,Florida,Florida,-,1,1,191,170,389
Norfolk (pt.),Foxborough,Foxborough,-,1,4,"1,002",774,"1,891"
Norfolk (pt.),Foxborough,Foxborough,-,2,4,"1,119",831,"2,085"
Norfolk (pt.),Foxborough,Foxborough,-,3,4,"1,048",877,"2,055"
Norfolk (pt.),Foxborough,Foxborough,-,4,4,"1,031",881,"2,062"
Norfolk (pt.),Foxborough,Foxborough,-,5,4,932,798,"1,875"
Middlesex (pt.),Framingham,Framingham,-,1,5,"1,551",631,"2,302"
Middlesex (pt.),Framingham,Framingham,-,2,5,"1,702",686,"2,529"
Middlesex (pt.),Framingham,Framingham,-,3,5,"1,354",474,"1,914"
Middlesex (pt.),Framingham,Framingham,-,4,5,"1,527",580,"2,228"
Middlesex (pt.),Framingham,Framingham,-,5,5,"1,426",591,"2,157"
Middlesex (pt.),Framingham,Framingham,-,6,5,"1,418",620,"2,171"
Middlesex (pt.),Framingham,Framingham,-,7,5,"1,324",489,"1,914"
Middlesex (pt.),Framingham,Framingham,-,8,5,"1,406",421,"1,925"
Middlesex (pt.),Framingham,Framingham,-,9,5,"1,033",318,"1,430"
Middlesex (pt.),Framingham,Framingham,-,10,5,860,253,"1,185"
Middlesex (pt.),Framingham,Framingham,-,11,5,"1,547",607,"2,278"
Middlesex (pt.),Framingham,Framingham,-,12,5,798,265,"1,110"
Middlesex (pt.),Framingham,Framingham,-,13,5,"1,033",327,"1,424"
Middlesex (pt.),Framingham,Framingham,-,14,5,810,182,"1,041"
Middlesex (pt.),Framingham,Framingham,-,15,5,830,215,"1,118"
Middlesex (pt.),Framingham,Framingham,-,16,5,533,113,666
Middlesex (pt.),Framingham,Framingham,-,17,5,633,58,712
Middlesex (pt.),Framingham,Framingham,-,18,5,735,233,"1,022"
Norfolk (pt.),Franklin,Franklin,-,1,4,"1,132",843,"2,105"
Norfolk (pt.),Franklin,Franklin,-,2,4,"1,130",846,"2,107"
Norfolk (pt.),Franklin,Franklin,-,3,4,"1,127",844,"2,099"
Norfolk (pt.),Franklin,Franklin,-,4,4,"1,236",989,"2,370"
Norfolk (pt.),Franklin,Franklin,-,5,4,"1,252",885,"2,275"
Norfolk (pt.),Franklin,Franklin,-,6,4,"1,139",730,"2,036"
Norfolk (pt.),Franklin,Franklin,-,7,4,"1,355",888,"2,402"
Norfolk (pt.),Franklin,Franklin,-,8,4,"1,156",971,"2,289"
Bristol (pt.),Freetown,Freetown,-,1,4,665,910,"1,651"
Bristol (pt.),Freetown,Freetown,-,2,4,707,875,"1,660"
Bristol (pt.),Freetown,Freetown,-,3,4,663,864,"1,619"
Worcester (pt.),Gardner,Gardner,1,A,3,556,415,"1,048"
Worcester (pt.),Gardner,Gardner,1,B,3,170,217,419
Worcester (pt.),Gardner,Gardner,2,A,3,480,382,942
Worcester (pt.),Gardner,Gardner,2,B,3,441,486,"1,040"
Worcester (pt.),Gardner,Gardner,3,A,3,403,324,799
Worcester (pt.),Gardner,Gardner,3,B,3,529,392,"1,001"
Worcester (pt.),Gardner,Gardner,4,A,3,485,294,851
Worcester (pt.),Gardner,Gardner,4,B,3,297,229,589
Worcester (pt.),Gardner,Gardner,5,A,3,389,315,760
Worcester (pt.),Gardner,Gardner,5,B,3,446,488,"1,036"
Essex (pt.),Georgetown,Georgetown,-,1,6,863,848,"1,843"
Essex (pt.),Georgetown,Georgetown,-,2,6,727,725,"1,589"
Essex (pt.),Georgetown,Georgetown,-,3,6,757,655,"1,523"
Franklin (pt.),Gill,Gill,-,1,2,579,259,927
Essex (pt.),Gloucester,Gloucester,1,1,6,"1,197",541,"1,852"
Essex (pt.),Gloucester,Gloucester,1,2,6,919,545,"1,569"
Essex (pt.),Gloucester,Gloucester,2,1,6,762,423,"1,258"
Essex (pt.),Gloucester,Gloucester,2,2,6,788,342,"1,210"
Essex (pt.),Gloucester,Gloucester,3,1,6,815,479,"1,373"
Essex (pt.),Gloucester,Gloucester,3,2,6,853,515,"1,457"
Essex (pt.),Gloucester,Gloucester,4,1,6,976,605,"1,672"
Essex (pt.),Gloucester,Gloucester,4,2,6,"1,301",521,"1,955"
Essex (pt.),Gloucester,Gloucester,5,1,6,"1,141",669,"1,921"
Essex (pt.),Gloucester,Gloucester,5,2,6,"1,056",715,"1,872"
Hampshire (pt.),Goshen,Goshen,-,1,1,364,213,620
Dukes,Gosnold,Gosnold,-,1,9,36,27,65
Worcester (pt.),Grafton,Grafton,-,1,2,"1,061",806,"2,029"
Worcester (pt.),Grafton,Grafton,-,2,2,"1,084",767,"2,007"
Worcester (pt.),Grafton,Grafton,-,3,2,"1,103",739,"1,955"
Worcester (pt.),Grafton,Grafton,-,4,2,901,743,"1,790"
Worcester (pt.),Grafton,Grafton,-,5,2,"1,223",828,"2,190"
Hampshire (pt.),Granby,Granby,-,1,1,949,809,"1,906"
Hampshire (pt.),Granby,Granby,-,2,1,702,890,"1,710"
Hampden (pt.),Granville,Granville,-,1,1,335,548,958
Berkshire,Great Barrington,Great Barrington,-,A,1,752,155,972
Berkshire,Great Barrington,Great Barrington,-,B,1,737,187,993
Berkshire,Great Barrington,Great Barrington,-,C,1,567,89,703
Berkshire,Great Barrington,Great Barrington,-,D,1,824,149,"1,023"
Franklin (pt.),Greenfield,Greenfield,-,1,2,547,280,901
Franklin (pt.),Greenfield,Greenfield,-,2,2,741,341,"1,170"
Franklin (pt.),Greenfield,Greenfield,-,3,2,638,254,966
Franklin (pt.),Greenfield,Greenfield,-,4,2,736,257,"1,056"
Franklin (pt.),Greenfield,Greenfield,-,5,2,718,175,975
Franklin (pt.),Greenfield,Greenfield,-,6,2,736,154,973
Franklin (pt.),Greenfield,Greenfield,-,7,2,483,246,815
Franklin (pt.),Greenfield,Greenfield,-,8,2,515,170,759
Franklin (pt.),Greenfield,Greenfield,-,9,2,460,221,738
Middlesex (pt.),Groton,Groton,-,1,3,"1,410",703,"2,294"
Middlesex (pt.),Groton,Groton,-,2,3,"1,247",765,"2,172"
Middlesex (pt.),Groton,Groton,-,3,3,"1,260",670,"2,085"
Essex (pt.),Groveland,Groveland,-,1,6,913,968,"1,994"
Essex (pt.),Groveland,Groveland,-,2,6,909,966,"2,004"
Hampshire (pt.),Hadley,Hadley,-,1,2,"2,149",867,"3,219"
Plymouth (pt.),Halifax,Halifax,-,1,9,883,"1,252","2,269"
Plymouth (pt.),Halifax,Halifax,-,2,9,911,"1,060","2,123"
Essex (pt.),Hamilton,Hamilton,-,1,6,958,583,"1,662"
Essex (pt.),Hamilton,Hamilton,-,2,6,953,542,"1,643"
Essex (pt.),Hamilton,Hamilton,-,3,6,720,351,"1,189"
Hampden (pt.),Hampden,Hampden,-,1,1,"1,188","1,645","3,024"
Berkshire,Hancock,Hancock,-,1,1,189,159,381
Plymouth (pt.),Hanover,Hanover,-,1,9,885,"1,033","2,030"
Plymouth (pt.),Hanover,Hanover,-,2,9,958,"1,125","2,210"
Plymouth (pt.),Hanover,Hanover,-,3,9,964,994,"2,085"
Plymouth (pt.),Hanover,Hanover,-,4,9,943,"1,115","2,163"
Plymouth (pt.),Hanson,Hanson,-,1,9,829,"1,060","1,985"
Plymouth (pt.),Hanson,Hanson,-,2,9,864,"1,045","2,063"
Plymouth (pt.),Hanson,Hanson,-,3,9,739,"1,019","1,895"
Worcester (pt.),Hardwick,Hardwick,-,1,2,568,709,"1,382"
Worcester (pt.),Harvard,Harvard,-,1,3,"2,515",889,"3,636"
Barnstable,Harwich,Harwich,-,1,9,"1,215",854,"2,184"
Barnstable,Harwich,Harwich,-,2,9,"1,145",843,"2,100"
Barnstable,Harwich,Harwich,-,3,9,"1,139",899,"2,158"
Barnstable,Harwich,Harwich,-,4,9,"1,061",698,"1,884"
Hampshire (pt.),Hatfield,Hatfield,-,1,2,"1,284",660,"2,082"
Essex (pt.),Haverhill,Haverhill,1,1,3,618,270,950
Essex (pt.),Haverhill,Haverhill,1,2,3,867,411,"1,355"
Essex (pt.),Haverhill,Haverhill,1,3,3,670,456,"1,197"
Essex (pt.),Haverhill,Haverhill,2,1,3,648,485,"1,229"
Essex (pt.),Haverhill,Haverhill,2,2,3,664,636,"1,395"
Essex (pt.),Haverhill,Haverhill,2,3,3,593,276,927
Essex (pt.),Haverhill,Haverhill,3,1,3,596,135,775
Essex (pt.),Haverhill,Haverhill,3,2,3,644,323,"1,023"
Essex (pt.),Haverhill,Haverhill,3,3,3,653,397,"1,130"
Essex (pt.),Haverhill,Haverhill,4,1,3,749,731,"1,586"
Essex (pt.),Haverhill,Haverhill,4,2,3,793,886,"1,786"
Essex (pt.),Haverhill,Haverhill,4,3,3,756,734,"1,584"
Essex (pt.),Haverhill,Haverhill,5,1,3,867,578,"1,521"
Essex (pt.),Haverhill,Haverhill,5,2,3,777,819,"1,675"
Essex (pt.),Haverhill,Haverhill,5,3,3,812,933,"1,831"
Essex (pt.),Haverhill,Haverhill,6,1,3,736,630,"1,449"
Essex (pt.),Haverhill,Haverhill,6,2,3,772,633,"1,496"
Essex (pt.),Haverhill,Haverhill,6,3,3,841,706,"1,647"
Essex (pt.),Haverhill,Haverhill,7,1,3,804,616,"1,520"
Essex (pt.),Haverhill,Haverhill,7,2,3,744,578,"1,403"
Essex (pt.),Haverhill,Haverhill,7,3,3,803,817,"1,739"
Franklin (pt.),Hawley,Hawley,-,1,1,105,67,193
Franklin (pt.),Heath,Heath,-,1,1,244,165,445
Plymouth (pt.),Hingham,Hingham,-,1,8,"1,327",776,"2,243"
Plymouth (pt.),Hingham,Hingham,-,2,8,"1,436",801,"2,378"
Plymouth (pt.),Hingham,Hingham,-,3,8,"1,445",739,"2,335"
Plymouth (pt.),Hingham,Hingham,-,4,8,"1,363",768,"2,282"
Plymouth (pt.),Hingham,Hingham,-,5,8,922,645,"1,667"
Plymouth (pt.),Hingham,Hingham,-,5A,8,717,267,"1,025"
Plymouth (pt.),Hingham,Hingham,-,6,8,"1,300",814,"2,223"
Berkshire,Hinsdale,Hinsdale,-,1,1,606,403,"1,101"
Norfolk (pt.),Holbrook,Holbrook,-,1,8,773,526,"1,367"
Norfolk (pt.),Holbrook,Holbrook,-,2,8,708,663,"1,466"
Norfolk (pt.),Holbrook,Holbrook,-,3,8,720,613,"1,430"
Norfolk (pt.),Holbrook,Holbrook,-,4,8,711,583,"1,372"
Worcester (pt.),Holden,Holden,-,1,2,"1,031",944,"2,153"
Worcester (pt.),Holden,Holden,-,2,2,"1,159",910,"2,213"
Worcester (pt.),Holden,Holden,-,3,2,"1,070",763,"2,005"
Worcester (pt.),Holden,Holden,-,4,2,"1,193","1,025","2,374"
Worcester (pt.),Holden,Holden,-,5,2,"1,152",970,"2,282"
Hampden (pt.),Holland,Holland,-,1,1,475,720,"1,334"
Middlesex (pt.),Holliston,Holliston,-,1,5,"1,394",744,"2,285"
Middlesex (pt.),Holliston,Holliston,-,2,5,"1,409",639,"2,214"
Middlesex (pt.),Holliston,Holliston,-,3,5,"1,293",582,"1,993"
Middlesex (pt.),Holliston,Holliston,-,4,5,"1,195",598,"1,912"
Hampden (pt.),Holyoke,Holyoke,1,A,1,815,58,905
Hampden (pt.),Holyoke,Holyoke,1,B,1,787,99,938
Hampden (pt.),Holyoke,Holyoke,2,A,1,696,121,860
Hampden (pt.),Holyoke,Holyoke,2,B,1,702,72,803
Hampden (pt.),Holyoke,Holyoke,3,A,1,867,284,"1,225"
Hampden (pt.),Holyoke,Holyoke,3,B,1,837,497,"1,433"
Hampden (pt.),Holyoke,Holyoke,4,A,1,639,93,762
Hampden (pt.),Holyoke,Holyoke,4,B,1,822,174,"1,052"
Hampden (pt.),Holyoke,Holyoke,5,A,1,925,748,"1,785"
Hampden (pt.),Holyoke,Holyoke,5,B,1,873,384,"1,308"
Hampden (pt.),Holyoke,Holyoke,6,A,1,841,256,"1,150"
Hampden (pt.),Holyoke,Holyoke,6,B,1,854,320,"1,248"
Hampden (pt.),Holyoke,Holyoke,7,A,1,981,558,"1,630"
Hampden (pt.),Holyoke,Holyoke,7,B,1,"1,017",358,"1,480"
Worcester (pt.),Hopedale,Hopedale,-,1,4,"1,759","1,375","3,380"
Middlesex (pt.),Hopkinton,Hopkinton,-,1,4,"1,498",706,"2,389"
Middlesex (pt.),Hopkinton,Hopkinton,-,2,4,"1,342",777,"2,265"
Middlesex (pt.),Hopkinton,Hopkinton,-,3,4,"1,232",728,"2,130"
Middlesex (pt.),Hopkinton,Hopkinton,-,4,4,"1,286",700,"2,145"
Worcester (pt.),Hubbardston,Hubbardston,-,1,2,"1,040","1,376","2,655"
Middlesex (pt.),Hudson,Hudson,-,1,3,896,570,"1,561"
Middlesex (pt.),Hudson,Hudson,-,2,3,785,457,"1,347"
Middlesex (pt.),Hudson,Hudson,-,3,3,827,658,"1,595"
Middlesex (pt.),Hudson,Hudson,-,4,3,903,627,"1,657"
Middlesex (pt.),Hudson,Hudson,-,5,3,"1,109",664,"1,889"
Middlesex (pt.),Hudson,Hudson,-,6,3,728,400,"1,198"
Middlesex (pt.),Hudson,Hudson,-,7,3,780,399,"1,273"
Plymouth (pt.),Hull,Hull,-,1,8,"1,335",741,"2,179"
Plymouth (pt.),Hull,Hull,-,2,8,"1,058",756,"1,923"
Plymouth (pt.),Hull,Hull,-,3,8,"1,295",859,"2,261"
Hampshire (pt.),Huntington,Huntington,-,1,1,460,611,"1,177"
