County,ShortName,CD,Clinton,Trump,Total,,,
Terrebonne (pt.),Terrebonne,6,847,3143,4092,102,,
West Baton Rouge (pt.),WestBatonRouge,2,984,717,1749,48,,
West Baton Rouge (pt.),WestBatonRouge,6,627,1451,2146,68,,
,,,,,,,,
Total E/A/P Votes,,,,,,,,
Ascension (pt.),Ascension,EV,4482,7971,12852,399,,
Assumption (pt.),Assumption,EV,855,1021,1922,46,,
East Baton Rouge (pt.),EastBatonRouge,EV,25144,21600,48644,1900,,
East Feliciana (pt.),EastFeliciana,EV,1238,1933,3253,82,,
Iberville (pt.),Iberville,EV,1478,2022,3592,92,,
Jefferson (pt.),Jefferson,EV,16683,18385,36198,1130,,
Lafourche (pt.),Lafourche,EV,1890,8636,10845,319,,
Orleans (pt.),Orleans,EV,43228,6372,51160,1560,,
St. Charles (pt.),StCharles,EV,2494,5044,7801,263,,
St. Helena (pt.),StHelena,EV,813,634,1464,17,,
St. John The Baptist (pt.),StJohnTheBaptist,EV,3532,1700,5364,132,,
St. Landry (pt.),StLandry,EV,3031,3567,6692,94,,
Tangipahoa (pt.),Tangipahoa,EV,3720,7694,11717,303,,
Terrebonne (pt.),Terrebonne,EV,2133,7663,10052,256,,
West Baton Rouge (pt.),WestBatonRouge,EV,1611,2168,3895,116,,
