County,ShortName,CD,Clinton,Trump,Total,
San Bernardino (pt.),SanBernardino,31,"131,960","83,701","228,825",San Bernardino SOV
San Bernardino (pt.),SanBernardino,35,"99,436","43,055","150,190",San Bernardino SOV
San Bernardino (pt.),SanBernardino,39,"15,211","13,880","30,585",San Bernardino SOV
San Diego (pt.),SanDiego,49,"125,714","93,435","233,952",San Diego SOV
San Diego (pt.),SanDiego,50,"103,264","141,331","259,734",San Diego SOV
San Diego (pt.),SanDiego,51,"114,936","34,121","157,761",San Diego SOV
San Diego (pt.),SanDiego,52,"191,325","117,057","329,258",San Diego SOV
San Diego (pt.),SanDiego,53,"200,237","91,822","310,373",San Diego SOV
San Francisco (pt.),SanFrancisco,12,"309,221","31,158","358,774",San Francisco SOV
San Francisco (pt.),SanFrancisco,14,"35,863","6,530","44,584",San Francisco SOV
San Joaquin (pt.),SanJoaquin,9,"86,436","58,285","152,817",San Joaquin SOV
San Joaquin (pt.),SanJoaquin,10,"34,688","30,651","69,329",San Joaquin SOV
San Mateo (pt.),SanMateo,14,"193,145","47,699","253,159",San Mateo SOV
San Mateo (pt.),SanMateo,18,"44,737",10230,"58,265",San Mateo SOV
Santa Clara (pt.),SantaClara,17,137662,37166,"185,401",Santa Clara SOV
Santa Clara (pt.),SantaClara,18,181337,51029,"247,753",Santa Clara SOV
Santa Clara (pt.),SantaClara,19,187828,55371,"257,624",Santa Clara SOV
Santa Clara (pt.),SantaClara,20,3569,948,"4,841",Santa Clara SOV
Santa Cruz (pt.),SantaCruz,18,"19,941","6,549","29,120",Santa Cruz SOV
Santa Cruz (pt.),SantaCruz,20,"75,308",15889,"98,004",Santa Cruz SOV
Solano (pt.),Solano,3,"58,219","39,489","104,367",Solano SOV
Solano (pt.),Solano,5,"44,141","12,431","59,742",Solano SOV
Sonoma (pt.),Sonoma,2,"68,472","21,567","97,551",Sonoma SOV
Sonoma (pt.),Sonoma,5,"91,963","29,841","131,305",Sonoma SOV
Tulare (pt.),Tulare,21,"2,461","1,838","4,482",Tulare SOV
Tulare (pt.),Tulare,22,"35,427","44,123","84,227",Tulare SOV
Tulare (pt.),Tulare,23,"9,697","12,338","23,231",Tulare SOV
Ventura (pt.),Ventura,24,"2,730","1,358","4,476",Ventura SOV
Ventura (pt.),Ventura,25,"24,450","27,180","55,020",Ventura SOV
Ventura (pt.),Ventura,26,166584,103333,"287,565",Ventura SOV
Ventura (pt.),Ventura,30,638,452,"1,139",Ventura SOV
Yolo (pt.),Yolo,3,"44,154","15,200","63,696",Yolo SOV
Yolo (pt.),Yolo,6,"10,598","5,539","17,278",Yolo SOV
