County,ShortName,CD,Clinton,Trump,Total,,,,,,,,,,,,,,,,,,,,,
Sharkey,Sharkey,2,"1,479",692,"2,190",,,,,,,,,,,,,,,,,,,,,
Simpson,Simpson,3,"3,874","7,393","11,419",,,,,,,,,,,,,,,,,,,,,
Smith,Smith,3,"1,617","5,928","7,627",,,,,,,,,,,,,,,,,,,,,
Stone,Stone,4,"1,573","5,306","7,045",,,,,,,,,,,,,,,,,,,,,
Sunflower,Sunflower,2,"6,725","2,794","9,598",,,,,,,,,,,,,,,,,,,,,
Tallahatchie,Tallahatchie,2,"3,337","2,462","5,870",,,,,,,,,,,,,,,,,,,,,
Tate,Tate,1,"3,926","7,495","11,627",,,,,,,,,,,,,,,,,,,,,
Tippah,Tippah,1,"1,842","7,240","9,235",,,,,,,,,,,,,,,,,,,,,
Tishomingo,Tishomingo,1,999,"7,166","8,371",,,,,,,,,,,,,,,,,,,,,
Tunica,Tunica,2,"2,667",853,"3,567",,,,,,,,,,,,,,,,,,,,,
Union,Union,1,"2,012","9,235","11,496",,,,,,,,,,,,,,,,,,,,,
Walthall,Walthall,3,"2,790","4,056","6,919",,,,,,,,,,,,,,,,,,,,,
Warren,Warren,2,"9,284","9,767","19,416",,,,,,,,,,,,,,,,,,,,,
Washington,Washington,2,"11,380","5,244","16,825",,,,,,,,,,,,,,,,,,,,,
Wayne,Wayne,4,"3,524","5,990","9,599",,,,,,,,,,,,,,,,,,,,,
Webster,Webster,1,"1,019","3,976","5,069",,,,,,,,,,,,,,,,,,,,,
Wilkinson,Wilkinson,3,"2,857","1,318","4,218",,,,,,,,,,,,,,,,,,,,,
Winston,Winston,1,"3,850","4,910","8,881",,,,,,,,,,,,,,,,,,,,,
Yalobusha,Yalobusha,2,"2,582","3,376","6,077",,,,,,,,,,,,,,,,,,,,,
Yazoo,Yazoo,2,"5,369","4,598","10,070",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Split Counties,,,,,,,,,,,,,,,,,,,,,,,,,
Clarke (pt.),Clarke,3,"2,006","4,704","6,773",63,,,,,,,,,,,,,,,,,,,,
Clarke (pt.),Clarke,4,579,433,"1,018",6,,,,,,,,,,,,,,,,,,,,
Hinds (pt.),Hinds,2,"61,113","19,366","81,771","1,292",,,,,,,,,,,,,,,,,,,,
Hinds (pt.),Hinds,3,"6,481","5,909","12,910",520,,,,,,,,,,,,,,,,,,,,
Madison (pt.),Madison,2,"9,332","2,405","11,854",117,,,,,,,,,,,,,,,,,,,,
Madison (pt.),Madison,3,"11,011","25,860","37,948","1,077",,,,,,,,,,,,,,,,,,,,
Oktibbeha (pt.),Oktibbeha,1,695,937,"1,651",20,,,,,,,,,,,,,,,,,,,,
Oktibbeha (pt.),Oktibbeha,3,"8,164","7,639","16,473",669,,,,,,,,,,,,,,,,,,,,
