County,ShortName,CD,Clinton,Trump,Total,,,,,,,,,,,,,,,,,,,,
Neosho,Neosho,2,"1,501","4,431","6,292",,,,,,,,,,,,,,,,,,,,
Ness,Ness,1,162,"1,228",1453,,,,,,,,,,,,,,,,,,,,
Norton,Norton,1,281,"1,840",2229,,,,,,,,,,,,,,,,,,,,
Osage,Osage,2,"1,753","4,826","7,046",,,,,,,,,,,,,,,,,,,,
Osborne,Osborne,1,233,"1,460",1780,,,,,,,,,,,,,,,,,,,,
Ottawa,Ottawa,1,424,"2,283",2893,,,,,,,,,,,,,,,,,,,,
Phillips,Phillips,1,300,"2,233",2649,,,,,,,,,,,,,,,,,,,,
Pottawatomie,Pottawatomie,1,"2,225","7,612","10,573",,,,,,,,,,,,,,,,,,,,
Pratt,Pratt,4,771,"2,838",3823,,,,,,,,,,,,,,,,,,,,
Rawlins,Rawlins,1,163,"1,220",1464,,,,,,,,,,,,,,,,,,,,
Reno,Reno,1,"6,837","15,513","24,086",,,,,,,,,,,,,,,,,,,,
Republic,Republic,1,375,"2,024",2525,,,,,,,,,,,,,,,,,,,,
Rice,Rice,1,695,"2,837",3795,,,,,,,,,,,,,,,,,,,,
Riley,Riley,1,"9,341","10,107","21,315",,,,,,,,,,,,,,,,,,,,
Rooks,Rooks,1,275,"2,031",2415,,,,,,,,,,,,,,,,,,,,
Rush,Rush,1,233,"1,197",1503,,,,,,,,,,,,,,,,,,,,
Russell,Russell,1,461,"2,574",3190,,,,,,,,,,,,,,,,,,,,
Saline,Saline,1,"6,317","13,828","21,984",,,,,,,,,,,,,,,,,,,,
Scott,Scott,1,236,"1,865",2197,,,,,,,,,,,,,,,,,,,,
Sedgwick,Sedgwick,4,"69,627","104,353",187236,,,,,,,,,,,,,,,,,,,,
Seward,Seward,1,"1,628","3,159","5,031",,,,,,,,,,,,,,,,,,,,
Shawnee,Shawnee,2,"33,926","35,934","75,024",,,,,,,,,,,,,,,,,,,,
Sheridan,Sheridan,1,127,"1,197",1374,,,,,,,,,,,,,,,,,,,,
Sherman,Sherman,1,347,"2,089",2594,,,,,,,,,,,,,,,,,,,,
Smith,Smith,1,297,"1,661",2042,,,,,,,,,,,,,,,,,,,,
Stafford,Stafford,4,304,"1,490",1890,,,,,,,,,,,,,,,,,,,,
Stanton,Stanton,1,115,492,633,,,,,,,,,,,,,,,,,,,,
Stevens,Stevens,1,220,"1,599",1891,,,,,,,,,,,,,,,,,,,,
Sumner,Sumner,4,"2,076","6,984","9,685",,,,,,,,,,,,,,,,,,,,
Thomas,Thomas,1,473,"2,908",3568,,,,,,,,,,,,,,,,,,,,
Trego,Trego,1,198,"1,227",1482,,,,,,,,,,,,,,,,,,,,
Wabaunsee,Wabaunsee,1,776,"2,372",3360,,,,,,,,,,,,,,,,,,,,
Wallace,Wallace,1,46,721,790,,,,,,,,,,,,,,,,,,,,
Washington,Washington,1,387,"2,194",2750,,,,,,,,,,,,,,,,,,,,
Wichita,Wichita,1,140,769,939,,,,,,,,,,,,,,,,,,,,
Wilson,Wilson,2,594,"2,788",3577,,,,,,,,,,,,,,,,,,,,
Woodson,Woodson,2,273,"1,082",1443,,,,,,,,,,,,,,,,,,,,
Wyandotte,Wyandotte,3,"30,146","15,806","48,624",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Split Counties,,,,,,,,,,,,,,,,,,,,,,,,
Marshall (pt.),Marshall,1,559,"1,575","2,239",,,,,,,,,,,,,,,,,,,,
Marshall (pt.),Marshall,2,513,"1,732","2,417",,,,,,,,,,,,,,,,,,,,
Miami (pt.),Miami,2,"2,510","5,995","9,113",,,,,,,,,,,,,,,,,,,,
Miami (pt.),Miami,3,"1,481","4,008","5,823",,,,,,,,,,,,,,,,,,,,
Pawnee (pt.),Pawnee,1,556,"1,786","2,499",,,,,,,,,,,,,,,,,,,,
Pawnee (pt.),Pawnee,4,23,118,149,,,,,,,,,,,,,,,,,,,,
