County,ShortName,CD,Clinton,Trump,Total,,,,,,,,,,,,,,,,,,,,,
Travis (pt.),Travis,17,"34,276","15,511","53,455","3,668",,,,,,,,,,,,,,,,,,,,
Travis (pt.),Travis,21,"69,428","23,022","99,277","6,827",,,,,,,,,,,,,,,,,,,,
Travis (pt.),Travis,25,"83,676","48,344","140,106","8,086",,,,,,,,,,,,,,,,,,,,
Travis (pt.),Travis,35,"46,078","9,572","59,527","3,877",,,,,,,,,,,,,,,,,,,,
Upshur (pt.),Upshur,1,807,"3,740","4,671",124,,,,,,,,,,,,,,,,,,,,
Upshur (pt.),Upshur,4,"1,573","9,469","11,260",218,,,,,,,,,,,,,,,,,,,,
Wilson (pt.),Wilson,15,255,"1,450","1,731",26,,,,,,,,,,,,,,,,,,,,
Wilson (pt.),Wilson,28,"4,535","12,548","17,531",448,,,,,,,,,,,,,,,,,,,,
Wise (pt.),Wise,12,"1,478","7,551","9,287",258,,,,,,,,,,,,,,,,,,,,
Wise (pt.),Wise,13,"1,934","13,119","15,391",338,,,,,,,,,,,,,,,,,,,,
Wood (pt.),Wood,1,"1,018","6,063","7,201",120,,,,,,,,,,,,,,,,,,,,
Wood (pt.),Wood,5,"1,612","9,637","11,473",224,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Split E/A/P Votes,,,,,,,,,,,,,,,,,,,,,,,,,
Bastrop (pt.),Bastrop,10,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Bastrop (pt.),Bastrop,17,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Bastrop (pt.),Bastrop,27,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Bell (pt.),Bell,25,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Bell (pt.),Bell,31,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Bexar (pt.),Bexar,20,280,175,482,27,,,,,,,,,,,,,,,,,,,,
Bexar (pt.),Bexar,21,106,141,263,15,,,,,,,,,,,,,,,,,,,,
Bexar (pt.),Bexar,23,111,128,252,12,,,,,,,,,,,,,,,,,,,,
Bexar (pt.),Bexar,28,59,62,128,7,,,,,,,,,,,,,,,,,,,,
Bexar (pt.),Bexar,35,120,59,188,10,,,,,,,,,,,,,,,,,,,,
Brazoria (pt.),Brazoria,14,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Brazoria (pt.),Brazoria,22,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Caldwell (pt.),Caldwell,27,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Caldwell (pt.),Caldwell,35,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Collin (pt.),Collin,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Collin (pt.),Collin,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Collin (pt.),Collin,32,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Comal (pt.),Comal,21,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Comal (pt.),Comal,35,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Dallas (pt.),Dallas,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Dallas (pt.),Dallas,24,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Dallas (pt.),Dallas,26,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Dallas (pt.),Dallas,30,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Dallas (pt.),Dallas,32,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Dallas (pt.),Dallas,33,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Denton (pt.),Denton,24,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Denton (pt.),Denton,26,0,0,0,0,,,,,,,,,,,,,,,,,,,,
El Paso (pt.),ElPaso,16,0,0,0,0,,,,,,,,,,,,,,,,,,,,
El Paso (pt.),ElPaso,23,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Erath (pt.),Erath,11,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Erath (pt.),Erath,25,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Floyd (pt.),Floyd,13,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Floyd (pt.),Floyd,19,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Fort Bend (pt.),FortBend,9,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Fort Bend (pt.),FortBend,22,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Gonzales (pt.),Gonzales,27,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Gonzales (pt.),Gonzales,34,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Guadalupe (pt.),Guadalupe,15,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Guadalupe (pt.),Guadalupe,35,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Harris (pt.),Harris,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Harris (pt.),Harris,7,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Harris (pt.),Harris,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Harris (pt.),Harris,9,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Harris (pt.),Harris,10,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Harris (pt.),Harris,18,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Harris (pt.),Harris,22,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Harris (pt.),Harris,29,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Harris (pt.),Harris,36,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Hays (pt.),Hays,21,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Hays (pt.),Hays,25,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Hays (pt.),Hays,35,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Hidalgo (pt.),Hidalgo,15,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Hidalgo (pt.),Hidalgo,28,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Hidalgo (pt.),Hidalgo,34,0,0,0,0,,,,,,,,,,,,,,,,,,,,
LaSalle (pt.),LaSalle,23,0,0,0,0,,,,,,,,,,,,,,,,,,,,
LaSalle (pt.),LaSalle,28,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Lee (pt.),Lee,10,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Lee (pt.),Lee,17,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Leon (pt.),Leon,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Leon (pt.),Leon,17,0,0,0,0,,,,,,,,,,,,,,,,,,,,
San Patricio (pt.),SanPatricio,27,0,0,0,0,,,,,,,,,,,,,,,,,,,,
San Patricio (pt.),SanPatricio,34,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Stephens (pt.),Stephens,11,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Stephens (pt.),Stephens,19,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Tarrant (pt.),Tarrant,6,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Tarrant (pt.),Tarrant,12,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Tarrant (pt.),Tarrant,24,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Tarrant (pt.),Tarrant,25,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Tarrant (pt.),Tarrant,26,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Tarrant (pt.),Tarrant,33,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Travis (pt.),Travis,10,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Travis (pt.),Travis,17,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Travis (pt.),Travis,21,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Travis (pt.),Travis,25,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Travis (pt.),Travis,35,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Upshur (pt.),Upshur,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Upshur (pt.),Upshur,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Wilson (pt.),Wilson,15,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Wilson (pt.),Wilson,28,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Wise (pt.),Wise,12,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Wise (pt.),Wise,13,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Wood (pt.),Wood,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Wood (pt.),Wood,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Total E/A/P Votes,,,,,,,,,,,,,,,,,,,,,,,,,,
Bastrop (pt.),Bastrop,EV,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Bell (pt.),Bell,EV,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Bexar (pt.),Bexar,EV,676,566,1313,71,,,,,,,,,,,,,,,,,,,,
Brazoria (pt.),Brazoria,EV,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Caldwell (pt.),Caldwell,EV,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Collin (pt.),Collin,EV,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Comal (pt.),Comal,EV,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Dallas (pt.),Dallas,EV,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Denton (pt.),Denton,EV,0,0,0,0,,,,,,,,,,,,,,,,,,,,
El Paso (pt.),ElPaso,EV,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Erath (pt.),Erath,EV,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Floyd (pt.),Floyd,EV,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Fort Bend (pt.),FortBend,EV,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Gonzales (pt.),Gonzales,EV,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Guadalupe (pt.),Guadalupe,EV,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Harris (pt.),Harris,EV,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Hays (pt.),Hays,EV,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Hidalgo (pt.),Hidalgo,EV,0,0,0,0,,,,,,,,,,,,,,,,,,,,
LaSalle (pt.),LaSalle,EV,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Lee (pt.),Lee,EV,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Leon (pt.),Leon,EV,0,0,0,0,,,,,,,,,,,,,,,,,,,,
San Patricio (pt.),SanPatricio,EV,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Stephens (pt.),Stephens,EV,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Tarrant (pt.),Tarrant,EV,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Travis (pt.),Travis,EV,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Upshur (pt.),Upshur,EV,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Wilson (pt.),Wilson,EV,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Wise (pt.),Wise,EV,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Wood (pt.),Wood,EV,0,0,0,0,,,,,,,,,,,,,,,,,,,,
