County,ShortName,CD,Clinton,Trump,Total,,,,,,,,,,,,,,,,,,,,,
Galveston,Galveston,14,"43,658","73,757","122,349",,,,,,,,,,,,,,,,,,,,,
Garza,Garza,19,230,"1,225","1,483",,,,,,,,,,,,,,,,,,,,,
Gillespie,Gillespie,21,"2,288","10,446","13,128",,,,,,,,,,,,,,,,,,,,,
Glasscock,Glasscock,11,34,553,602,,,,,,,,,,,,,,,,,,,,,
Goliad,Goliad,34,973,"2,620","3,704",,,,,,,,,,,,,,,,,,,,,
Gray,Gray,13,701,"6,500","7,367",,,,,,,,,,,,,,,,,,,,,
Grayson,Grayson,4,"10,301","35,325","47,148",,,,,,,,,,,,,,,,,,,,,
Gregg,Gregg,1,"11,677","28,764","41,494",,,,,,,,,,,,,,,,,,,,,
Grimes,Grimes,8,"2,194","7,065","9,528",,,,,,,,,,,,,,,,,,,,,
Hale,Hale,19,"2,101","6,366","8,834",,,,,,,,,,,,,,,,,,,,,
Hall,Hall,13,164,893,"1,091",,,,,,,,,,,,,,,,,,,,,
Hamilton,Hamilton,25,479,"3,060","3,613",,,,,,,,,,,,,,,,,,,,,
Hansford,Hansford,13,171,"1,730","1,947",,,,,,,,,,,,,,,,,,,,,
Hardeman,Hardeman,13,249,"1,207","1,511",,,,,,,,,,,,,,,,,,,,,
Hardin,Hardin,36,"2,780","19,606","22,780",,,,,,,,,,,,,,,,,,,,,
Harrison,Harrison,1,"7,151","18,749","26,425",,,,,,,,,,,,,,,,,,,,,
Hartley,Hartley,13,173,"1,730","1,949",,,,,,,,,,,,,,,,,,,,,
Haskell,Haskell,19,314,"1,403","1,765",,,,,,,,,,,,,,,,,,,,,
Hemphill,Hemphill,13,181,"1,462","1,689",,,,,,,,,,,,,,,,,,,,,
Henderson,Henderson,5,"5,669","23,650","29,956",,,,,,,,,,,,,,,,,,,,,
Hill,Hill,25,"2,547","10,108","12,951",,,,,,,,,,,,,,,,,,,,,
Hockley,Hockley,19,"1,260","5,809","7,301",,,,,,,,,,,,,,,,,,,,,
Hood,Hood,11,"4,008","21,382","26,144",,,,,,,,,,,,,,,,,,,,,
Hopkins,Hopkins,4,"2,510","10,707","13,481",,,,,,,,,,,,,,,,,,,,,
Houston,Houston,8,"1,978","6,205","8,302",,,,,,,,,,,,,,,,,,,,,
